method,sample_id,n_reference_positive_shallow_zeros,MAE_RA,RMSE_RA,MAE_log10_RA,RMSE_log10_RA,positive_prediction_rate,n_shallow_repeats
Training-mean RA,SRS2821824,115.4,0.0006071575746986358,0.002193094822882885,0.5812428475415053,0.7439746269147129,1.0,5
Training-mean RA,SRS2821835,69.8,0.0013064527446636804,0.003245906672275889,0.9357004155542272,1.1294677464091378,1.0,5
Training-mean RA,SRS2821843,105.2,0.0004834059003474788,0.0010872026880511037,0.6557750350860008,0.8175181051571722,1.0,5
Training-mean RA,SRS2821844,44.6,0.0006895770836582344,0.001620603663349114,0.6421653644468301,0.8106532055912279,1.0,5
Training-mean RA,SRS2821854,27.0,0.0008978721285157996,0.0018065985048893653,0.5039941916915884,0.6217286023785957,1.0,5
Training-mean RA,SRS2821860,96.4,0.0004919074734944829,0.0015996420293505564,0.6226185259886803,0.7672445271363451,1.0,5
Training-mean RA,SRS2821870,111.4,0.00042897822895189233,0.0009441774958239262,0.6471369614872371,0.7922719904303318,1.0,5
Training-mean RA,SRS2821871,106.2,0.0004120698701304564,0.0009228007083698671,0.6179685736196818,0.7901885828467047,1.0,5
Training-mean RA,SRS2821875,81.6,0.0007533860098420293,0.00260385762703141,0.6517571315865208,0.8479157553400036,1.0,5
Training-mean RA,SRS2821881,58.2,0.0015984136312716117,0.00367163147550498,1.049148707606273,1.2632114071687701,1.0,5
Training-mean RA,SRS2821890,79.6,0.00035672964886351963,0.0007953611107807911,0.5166436651045558,0.6789964628908586,1.0,5
Training-mean RA,SRS2821892,84.0,0.000512520020893669,0.0011286631038574613,0.6014200253801982,0.7667678309261364,1.0,5
Training-mean RA,SRS2821893,35.6,0.0009323205783902319,0.0022059721230165727,0.8771410302634213,1.044050283922665,1.0,5
Training-mean RA,SRS2821894,76.6,0.0018957165131906935,0.006351583963583099,0.9921038605670912,1.2025755164363514,1.0,5
Training-mean RA,SRS2821901,108.4,0.0004511368660484995,0.0008758819539867052,0.740257431290936,0.8903316310106881,1.0,5
Training-mean RA,SRS2821905,104.2,0.0012580252535306132,0.0053899987300086594,0.8287727451140222,1.0434912783247472,1.0,5
Training-mean RA,SRS2821908,105.8,0.0009760796903716224,0.00398135183555665,0.8341099121796383,1.0573757285453684,1.0,5
Training-mean RA,SRS2821916,120.2,0.001433575215744658,0.005483271548647322,1.0297111552178735,1.2036133845031405,1.0,5
Training-mean RA,SRS2821919,83.8,0.0009743931755983801,0.0034836164292434413,0.7028504160174786,0.8731584665901171,1.0,5
Training-mean RA,SRS2821925,65.4,0.0026718442631391394,0.008162661135409206,1.0077454029861592,1.208507062634229,1.0,5
Training-mean RA,SRS2821928,70.4,0.0005750298422402413,0.001382589723861735,0.6042708951439935,0.8057339262062924,1.0,5
Training-mean RA,SRS2821931,93.6,0.0005784619255060202,0.0017821660231796903,0.5019451046903056,0.6810141785191808,1.0,5
Training-mean RA,SRS2821932,91.8,0.0007509318870017911,0.0039028073639700554,0.5472058211943753,0.7187117573849128,1.0,5
