model,subgroup_variable,subgroup,number_of_rows,importance_rank,feature,mean_abs_SHAP,importance_percent,mean_signed_SHAP
XGBoost,abundance_group,Dominant (>=1e-2),17,4,shallow_richness,0.08947363572523874,2.300895379587785,-0.030861765255822855
XGBoost,abundance_group,Dominant (>=1e-2),17,5,otu_mean_ra_train,0.0815819782369277,2.0979542773852926,0.0799606405198574
XGBoost,abundance_group,Dominant (>=1e-2),17,6,otu_std_ra_train,0.02560877361204749,0.6585527502404668,-0.008276215475394992
XGBoost,abundance_group,Dominant (>=1e-2),17,7,otu_max_ra_train,0.01760074044303859,0.45261894226667504,0.0039222697617814824
XGBoost,abundance_group,Dominant (>=1e-2),17,8,shallow_rank_norm,0.016340346746694517,0.42020677963493347,-0.005879824940005646
XGBoost,abundance_group,Dominant (>=1e-2),17,9,zero_in_shallow,0.003180890905616038,0.08179948348338135,0.003180890905616038
XGBoost,abundance_group,Dominant (>=1e-2),17,10,is_other,9.565876071599847e-05,0.0024599514568116325,5.4385861724714394e-05
XGBoost,abundance_group,Common (1e-3 to 1e-2),33,1,log1p_shallow_count,1.3958888631878477,57.6648195424007,1.34989016345053
XGBoost,abundance_group,Common (1e-3 to 1e-2),33,2,otu_prevalence_train,0.478866720289895,19.78220740819968,0.4645942463116212
XGBoost,abundance_group,Common (1e-3 to 1e-2),33,3,log10_shallow_ra,0.2700169948917447,11.154527910090819,0.261175941788789
XGBoost,abundance_group,Common (1e-3 to 1e-2),33,4,shallow_richness,0.1286638050311894,5.315161754223211,0.0312581133153854
XGBoost,abundance_group,Common (1e-3 to 1e-2),33,5,otu_mean_ra_train,0.07329503131437708,3.0278519053772173,0.06276807589033111
XGBoost,abundance_group,Common (1e-3 to 1e-2),33,6,otu_std_ra_train,0.02983762695591643,1.2326062764459849,0.01090174727935598
XGBoost,abundance_group,Common (1e-3 to 1e-2),33,7,shallow_rank_norm,0.022773459878270372,0.9407822419597884,-0.01873871555664774
XGBoost,abundance_group,Common (1e-3 to 1e-2),33,8,otu_max_ra_train,0.018698677013162524,0.7724510626033628,0.005899408989176719
