sample_id,split,subsample_repeat,otu_id,shallow_depth,shallow_count,shallow_ra,log10_shallow_ra,log1p_shallow_count,zero_in_shallow,shallow_rank,shallow_rank_norm,shallow_richness,otu_mean_ra_train,otu_prevalence_train,otu_std_ra_train,otu_max_ra_train,target_reference_ra,target_log10_reference_ra,is_other
SRS2821814,train,1,110339,2000,3,0.0015,-2.8239058456574235,1.3862943611198906,0,55,0.4954954954954955,110,0.0009270584209986,0.8821752265861027,0.0031425246084859,0.0366003152180258,0.0009936595060092742,-3.0027580377184995,0
SRS2821814,train,1,233976,2000,3,0.0015,-2.8239058456574235,1.3862943611198906,0,56,0.5045045045045045,110,0.0008927084313389,0.6465256797583081,0.0014619017075088,0.0086763798466207,0.001482603072458282,-2.828972174947133,0
SRS2821814,train,1,24669,2000,29,0.0145,-1.8386316982516926,3.4011973816621555,0,17,0.15315315315315314,110,0.0008909919195333,0.770392749244713,0.0025112470412891,0.0219011617973688,0.0189583924797325,-1.7221982610626778,0
SRS2821814,train,1,164928,2000,0,0.0,-8.0,0.0,1,111,1.0,110,0.0008788847666915,0.879154078549849,0.001356926727573,0.0129150498990564,0.0,-8.0,0
SRS2821814,train,1,137295,2000,0,0.0,-8.0,0.0,1,111,1.0,110,0.0008588655027483,0.56797583081571,0.0017393195698744,0.009269044622002,1.577237311125832e-05,-4.801827693671881,0
SRS2821814,train,1,182860,2000,3,0.0015,-2.8239058456574235,1.3862943611198906,0,57,0.5135135135135135,110,0.0008390357207221,0.9667673716012084,0.0023867981127546,0.0349421542369605,0.0006151225513390745,-3.211031290545936,0
SRS2821814,train,1,121481,2000,0,0.0,-8.0,0.0,1,111,1.0,110,0.0008315500769304,0.3323262839879154,0.002063896486357,0.0119995955192521,0.0,-8.0,0
SRS2821814,train,1,249900,2000,1,0.0005,-3.3010213098612007,0.6931471805599453,0,82,0.7387387387387387,110,0.0007808646005963,0.9486404833836858,0.0021385648679012,0.026292831142264,0.00036276458155894137,-3.4403631501549907,0
SRS2821814,train,1,145222,2000,5,0.0025,-2.6020582541535093,1.791759469228055,0,45,0.40540540540540543,110,0.0007604187236067,0.6918429003021148,0.0026780719289448,0.031470961865727,0.0015930096842370902,-2.7977788577815854,0
SRS2821814,train,1,34262,2000,0,0.0,-8.0,0.0,1,111,1.0,110,0.0007483980248292,0.9395770392749244,0.000999256381279,0.0145350534119432,0.0,-8.0,0
SRS2821814,train,1,105705,2000,0,0.0,-8.0,0.0,1,111,1.0,110,0.0007462551063153,0.9123867069486404,0.000871071416037,0.0079544466660871,0.00025235796978013313,-3.5979657660303577,0
SRS2821814,train,1,245736,2000,1,0.0005,-3.3010213098612007,0.6931471805599453,0,83,0.7477477477477478,110,0.0007176538529003,0.6888217522658611,0.000858284494411,0.0065815044178996,0.0006308949244503328,-3.200036082748939,0
SRS2821814,train,1,260520,2000,0,0.0,-8.0,0.0,1,111,1.0,110,0.0007085178752408,0.525679758308157,0.0016227750016784,0.00947160589283,0.0,-8.0,0
SRS2821814,train,1,73737,2000,9,0.0045,-2.34678652112688,2.302585092994046,0,32,0.2882882882882883,110,0.0006970791518131,0.743202416918429,0.003217601419826,0.0535319194862662,0.00403772751648213,-2.393861916905157,0
SRS2821814,train,1,157587,2000,14,0.007,-2.1549013395654977,2.70805020110221,0,28,0.25225225225225223,110,0.000654111289356,0.8036253776435045,0.0019159370545271,0.0210642701216227,0.00610390839405697,-2.21439128128641,0
SRS2821814,train,1,93004,2000,0,0.0,-8.0,0.0,1,111,1.0,110,0.0006397457609015,0.7764350453172205,0.0009882454159657,0.0115452930728241,7.88618655562916e-05,-4.1030778866848,0
SRS2821814,train,1,170659,2000,1,0.0005,-3.3010213098612007,0.6931471805599453,0,84,0.7567567567567568,110,0.0006393986810023,0.7945619335347432,0.0008578753801034,0.0049339031410024,4.731711933377496e-05,-4.324889928988991,0
SRS2821814,train,1,233986,2000,0,0.0,-8.0,0.0,1,111,1.0,110,0.0006277564998318,0.6283987915407855,0.0022032620366809,0.0364416037566646,0.0004573988202264913,-3.339695465136438,0
SRS2821814,train,1,190521,2000,1,0.0005,-3.3010213098612007,0.6931471805599453,0,85,0.7657657657657657,110,0.0006114829620245,0.6132930513595166,0.0007990808759467,0.003845461635371,0.0005835778051165578,-3.2338937918744075,0
SRS2821814,train,1,185862,2000,0,0.0,-8.0,0.0,1,111,1.0,110,0.0005944871030864,0.8187311178247734,0.0012293091412168,0.0104048176647708,0.0,-8.0,0
SRS2821814,train,1,39261,2000,0,0.0,-8.0,0.0,1,111,1.0,110,0.0005936649204949,0.8157099697885196,0.0008587361748811,0.0042032418373507,0.00011040661177880824,-3.9569655836615905,0
SRS2821814,train,1,181023,2000,0,0.0,-8.0,0.0,1,111,1.0,110,0.0005816964093084,0.6404833836858006,0.0010030159376034,0.0040213440569174,0.0,-8.0,0
SRS2821814,train,1,5592,2000,0,0.0,-8.0,0.0,1,111,1.0,110,0.0005709376449736,0.8368580060422961,0.0010158335425135,0.0073416156051492,0.0,-8.0,0
SRS2821814,train,1,55775,2000,1,0.0005,-3.3010213098612007,0.6931471805599453,0,86,0.7747747747747747,110,0.0005645521438424,0.716012084592145,0.0019663369107236,0.0275657336726039,0.001135610864010599,-2.9447666370677763,0
SRS2821814,train,1,18877,2000,3,0.0015,-2.8239058456574235,1.3862943611198906,0,58,0.5225225225225225,110,0.0005624122937875,0.7069486404833837,0.000765100071107,0.0034255204271402,0.00034699220844768307,-3.4596677611930162,0
