split,method,sample_id,subsample_repeat,shallow_depth,number_of_components,composition_MAE_RA,composition_RMSE_RA,composition_Spearman,Bray_Curtis,Jensen_Shannon_distance,RAD_MAE_RA_specific,RAD_RMSE_RA_specific,RAD_MAE_log10_RA_specific,RAD_RMSE_log10_RA_specific,RAD_Spearman_specific,RAD_head_MAE_log10,RAD_middle_MAE_log10,RAD_tail_MAE_log10,Top1_cumulative_error,Top5_cumulative_error,Top10_cumulative_error,true_Shannon_specific,predicted_Shannon_specific,Shannon_absolute_error,true_Simpson_specific,predicted_Simpson_specific,Simpson_absolute_error,true_richness_1read_specific,predicted_richness_1read_specific,richness_1read_absolute_error
train,Raw shallow RA,SRS2821933,2,2000,255,0.0005136419582240016,0.0013636466647250003,0.8366081394243355,0.0654893496735602,0.12320962045742109,0.0003544434853317621,0.0011684965922813398,1.326920696953466,2.311611292352899,0.8716190794746879,0.032484467724705285,1.4453072627386963,1.3531537873507702,0.0026207531596557643,0.01326233441660235,0.004130059665622299,3.520940891728963,3.471856813806543,0.0490840779224202,0.9484533971333029,0.9488260161303651,0.0003726189970622018,88,91,3
train,Raw shallow RA,SRS2821933,3,2000,255,0.0005264173437548052,0.0012661928508574045,0.8719027963069667,0.06711821132873766,0.11371931563749307,0.0003103258834185491,0.0009590793274313304,1.058053489558335,2.0224185745555743,0.9096610290909797,0.024155095790445433,0.8472020974473106,1.3531537873507702,0.005574712349714184,0.004956774819130927,0.0022530709468017163,3.520940891728963,3.4957034331954597,0.025237458533503343,0.9484533971333029,0.9488604552927649,0.00040705815946195933,88,106,18
train,Raw shallow RA,SRS2821933,4,2000,255,0.00042644502087226514,0.0008788343861912513,0.8619854778091347,0.05437174016121381,0.11684470750543655,0.00025607230954559183,0.0006109691872740401,1.1459747542011889,2.1206650511636442,0.8981348069277928,0.017284015923958364,1.043880389180199,1.3531537873507702,9.16686882344031e-05,0.005958707566199928,0.009021179585768646,3.520940891728963,3.48378591734263,0.037154974386333084,0.9484533971333029,0.9478722046068995,0.000581192526403429,88,101,13
train,Raw shallow RA,SRS2821933,5,2000,255,0.0006513625795359541,0.0014887063662285922,0.8364000998738876,0.08304872889083414,0.13530398498497853,0.0003074186953061175,0.0008979688469935395,1.0915571314497396,2.061510498676053,0.9049811620209649,0.030182621114861894,0.9211632133350249,1.3531537873507702,0.0017510042113066948,0.004761025055148194,0.003505663924728508,3.520940891728963,3.474163258375608,0.046777633353355164,0.9484533971333029,0.9479983336003845,0.0004550635329183539,88,104,16
train,Raw shallow RA,SRS2821929,1,2000,255,0.0003973662992947789,0.0010040967795346366,0.7424256576391162,0.05066420316008431,0.12247892723445572,0.00022146864384469544,0.0006897732839398829,1.6692675894483489,2.5215944560510066,0.8605989513329931,0.022377124557266575,1.4121001835790323,2.0686901115954837,0.007862714544181665,0.004615560114449524,0.005533067213555953,2.944913830938242,2.8896217403117883,0.05529209062645357,0.9088773670087918,0.9068356760374833,0.002041690971308574,63,91,28
train,Raw shallow RA,SRS2821929,2,2000,255,0.00044072244852647437,0.001118826467427287,0.7380120041619452,0.056192112187125484,0.13027496084425114,0.00029849789468030374,0.0009374945742169451,1.7374361754659606,2.5813063108176753,0.8485762600290769,0.03357731540153053,1.5627073622412944,2.0686901115954837,0.0015879343991988815,0.006298108949588488,0.006194447378818579,2.944913830938242,2.891444503263991,0.053469327674251055,0.9088773670087918,0.9087902340602376,8.713294855422493e-05,63,87,24
train,Raw shallow RA,SRS2821929,3,2000,255,0.00035835195042572843,0.000985319629363139,0.7765375029636624,0.045689873679280374,0.11419564893910338,0.0002671772316395947,0.0009181399015614327,1.7029751520661534,2.551511671633071,0.8545742038582209,0.026444570406559734,1.486739166990274,2.0686901115954837,0.005700602166770902,0.009624178295383312,0.0005577613575260543,2.944913830938242,2.918974569386706,0.025939261551535697,0.9088773670087918,0.911506933225428,0.0026295662166361256,63,89,26
train,Raw shallow RA,SRS2821929,4,2000,255,0.0003986264002660008,0.0009661083601545506,0.7940063304696691,0.0508248660339151,0.11939629346887798,0.0002539611457910586,0.0007815824391086302,1.6540558753972427,2.5065618822321767,0.8635698364665436,0.030837297946913478,1.377242660569854,2.0686901115954837,0.004361257023218074,0.005725448710204861,0.0005747880829063412,2.944913830938242,2.9030795139678016,0.041834316970440266,0.9088773670087918,0.9079709311146433,0.0009064358941485162,63,92,29
train,Raw shallow RA,SRS2821929,5,2000,255,0.0005497195078767114,0.001703962374331554,0.7947145079334005,0.0700892372542807,0.12185325149489314,0.0003456275954599601,0.0014481124921811302,1.5436222175994412,2.400216488634234,0.880722193032196,0.03285827945480501,1.1309582584624487,2.0686901115954837,0.008983034564203463,0.0076992057569028605,0.00588628644920397,2.944913830938242,2.9301040647901546,0.014809766148087267,0.9088773670087918,0.9092841345079163,0.00040676749912449406,63,99,36
train,Raw shallow RA,SRS2822190,1,2000,255,0.0004282929084709192,0.0013656683628462253,0.8217705384282404,0.054607345830042196,0.10875683451391319,0.0003088301328270999,0.0012729557165862225,0.8401481689788246,1.7957849135612196,0.8573304406200059,0.042855870037540315,1.8670220053520477,0.0,0.005140443035622111,0.011147944158123368,0.0047341760652628295,2.867196776464567,2.8662379263266318,0.0009588501379353964,0.9059157424384371,0.9078235462943525,0.0019078038559153798,58,74,16
train,Raw shallow RA,SRS2822190,2,2000,255,0.000451877245012479,0.0014196393574100676,0.8341809023228665,0.05761434873909107,0.10490337344949514,0.000304955802826705,0.0011632291721231625,0.8120551846514944,1.7532832265694234,0.8653867259190218,0.04801971119071256,1.803840005754389,0.0,0.01111105712239624,0.005421176664578753,0.009137349439325093,2.867196776464567,2.89651253158745,0.02931575512288287,0.9059157424384371,0.9100430616211901,0.004127319182752998,58,76,18
train,Raw shallow RA,SRS2822190,3,2000,255,0.0005259344294868235,0.0017027922468106592,0.8150670254001506,0.06705663975957,0.10746171612146828,0.00031518546728507814,0.0013351649156727184,0.9235765656195601,1.9018364038048492,0.8370687299450993,0.03382178936027024,2.053936529874428,0.0,0.005937099763975107,0.015679666212504162,0.0033222186980805812,2.867196776464567,2.8572423115183776,0.009954464946189567,0.9059157424384371,0.9092443681804859,0.0033286257420488408,58,69,11
train,Raw shallow RA,SRS2822190,4,2000,255,0.0003439190074858618,0.0011379196802732306,0.7982081120276047,0.04384967345444738,0.10828560678045049,0.00024268866555615564,0.0010770724519091302,0.8555409626114647,1.8167401550950457,0.853395395690085,0.023310747667504832,1.9035470595055657,0.0,0.0012130028598396625,0.0136379563389043,0.004659198524608388,2.867196776464567,2.8133548634712953,0.0538419129932719,0.9059157424384371,0.9024169159729448,0.0034988264654922663,58,73,15
train,Raw shallow RA,SRS2822190,5,2000,255,0.0003222421548040102,0.0008371204205837323,0.7993107769470397,0.0410858747375113,0.1107419223030129,0.0001946156723221417,0.000638529436752053,0.9067513744590108,1.8805735817742024,0.841417953135043,0.014547266511850744,2.018646795157322,0.0,0.002794232326616519,0.005042898810293406,0.0027727799214772864,2.867196776464567,2.8419531201014903,0.025243656363076905,0.9059157424384371,0.9053906457709083,0.0005250966675287572,58,70,12
train,Raw shallow RA,SRS2822024,1,2000,255,0.0003362215174213286,0.001030841516071355,0.7816851539751108,0.0428682434712194,0.08010671686661967,0.00024941603248482817,0.0009383272992416281,1.0284710332693972,1.8953155245243034,0.7920526988178054,0.025155930938597068,2.101232755116897,0.16822111232203812,0.004690357231495468,0.0022725659802435016,0.011580670627528988,2.6895599040905616,2.6954002906295784,0.005840386539016862,0.8924855782797844,0.8924182467993427,6.733148044169024e-05,45,61,16
