depth,method,metric,n_samples,mean,std,median,q25,q75
2000,Raw shallow RA,richness_fixed_absolute_error,72,31.15555555555555,11.506334922510415,31.5,20.55,39.2
2000,Training-mean RA,composition_RMSE_RA,72,0.0132603616478729,0.0047588661517308,0.0119728497107974,0.0101612362022873,0.0146207513978813
2000,Training-mean RA,composition_Spearman,72,0.5854992486605802,0.060413080359585,0.5861618683916767,0.5581597451093464,0.6275087137141178
2000,Training-mean RA,Bray_Curtis,72,0.3985704493983644,0.0752000783603454,0.394419813052308,0.3449927030817201,0.4443466183333281
2000,Training-mean RA,Jensen_Shannon_distance,72,0.4520867246319424,0.0683620382015574,0.4437101515592175,0.4060989644010537,0.4905584083602715
2000,Training-mean RA,RAD_MAE_log10_RA_specific,72,1.676069943689311,0.5780819799243232,1.5933264092053212,1.1912096489068889,2.1031929667152953
2000,Training-mean RA,RAD_RMSE_log10_RA_specific,72,2.362900486697379,0.4968703103739382,2.3022467052505853,2.003418062500307,2.702143840952833
2000,Training-mean RA,RAD_head_MAE_log10,72,0.1313359050326663,0.0592514653044852,0.1157450520646542,0.0880469770040334,0.1635276797224803
2000,Training-mean RA,RAD_middle_MAE_log10,72,0.496733399461611,0.4361548079056671,0.3869986086594872,0.1617632970235314,0.6770339736322222
2000,Training-mean RA,RAD_tail_MAE_log10,72,2.8928093810475333,0.8218198208285933,2.8377355070676815,2.229565201128435,3.5653377144580713
2000,Training-mean RA,Shannon_absolute_error,72,0.6293028636520913,0.345555313260703,0.595645211758389,0.3096174701163373,0.8879533787390586
2000,Training-mean RA,Simpson_absolute_error,72,0.0528806130395713,0.0488461340846419,0.0386931780953472,0.0135590346820739,0.071304138249794
2000,Training-mean RA,true_richness_1read,72,67.01388888888889,15.985462634827066,66.0,55.0,82.25
2000,Training-mean RA,predicted_richness_1read,72,97.0,0.0,97.0,97.0,97.0
2000,Training-mean RA,richness_1read_absolute_error,72,30.01388888888889,15.932509996996137,31.0,14.75,42.0
2000,Training-mean RA,true_richness_fixed,72,114.45833333333331,29.351170286431486,116.0,89.0,139.25
2000,Training-mean RA,predicted_richness_fixed,72,231.0,0.0,231.0,231.0,231.0
2000,Training-mean RA,richness_fixed_absolute_error,72,116.54166666666669,29.351170286431486,115.0,91.75,142.0
2000,XGBoost,composition_RMSE_RA,72,0.0028988451553184,0.0022437852381335,0.0020083209433372,0.0016112563781037,0.0032175359374393
2000,XGBoost,composition_Spearman,72,0.8487275134435,0.0491311068372904,0.8586440494848343,0.8174112084404401,0.8861435142598346
2000,XGBoost,Bray_Curtis,72,0.0772623885821668,0.0296687876813989,0.0682829546841939,0.0637063845021043,0.0771595619545623
2000,XGBoost,Jensen_Shannon_distance,72,0.1103518387104755,0.0200830504842426,0.1062506547530795,0.1012673854173523,0.1129615113667331
2000,XGBoost,RAD_MAE_log10_RA_specific,72,0.7186516533052802,0.1221481226620317,0.7358170649458529,0.6272778526370073,0.7865309386492151
2000,XGBoost,RAD_RMSE_log10_RA_specific,72,0.9282757306237116,0.1543770344808133,0.923440806281693,0.8285761732244589,0.983902310218469
2000,XGBoost,RAD_head_MAE_log10,72,0.0423960889676077,0.0242310778647333,0.0347113044397923,0.0300020588439723,0.0427389792146816
2000,XGBoost,RAD_middle_MAE_log10,72,0.4385371138817009,0.2260930286335905,0.4904757491019398,0.2146016036854878,0.5967402793650413
2000,XGBoost,RAD_tail_MAE_log10,72,1.0393160614208534,0.1874649725814088,1.0411444936326255,0.9520817066771956,1.133176671209922
2000,XGBoost,Shannon_absolute_error,72,0.1198557791829684,0.0666834475685943,0.1069723340532068,0.0820760567857993,0.1473017764216126
2000,XGBoost,Simpson_absolute_error,72,0.0166696671344102,0.0233320241016599,0.0081211982658904,0.0041655936660541,0.0171413352035002
2000,XGBoost,true_richness_1read,72,67.01388888888889,15.985462634827066,66.0,55.0,82.25
2000,XGBoost,predicted_richness_1read,72,60.24166666666666,12.753212795986675,60.5,49.05,71.9
2000,XGBoost,richness_1read_absolute_error,72,7.166666666666667,3.721426350810539,7.1,4.5,9.25
2000,XGBoost,true_richness_fixed,72,114.45833333333331,29.351170286431486,116.0,89.0,139.25
2000,XGBoost,predicted_richness_fixed,72,86.85833333333333,21.44531039710475,85.3,69.05000000000001,105.2
